id,name,overall_score,population_density,median_age_of_population,population,annual_population_growth_rate,female_population,male_population,cost_of_a_one_bedroom_apartment_in_the_city_center,average_salary,income_inequalities,gross_domestic_product__gdp,unemployment_rate,average_price_of_milk__1_liter,vat,number_of_universities,maximum_income_tax,big_mac_index,mcdonald_s_mcmeal_or_combo_meal_price,fuel_price__1_liter,hospital_beds_per_1_000_inhabitants,minimum_income_tax,average_temperature,average_maximum_temperature,humidity_rate,average_minimum_temperature,unesco_world_heritage_landmarks,sports_facilities__stadiums__arenas_with_20_000__seats,cost_of_the_monthly_public_transport_ticket,price_of_a_single_transportation_ticket,number_of_airports,global_cities_index,number_of_billionaires,number_of_public_wi_fi_spots,average_commuting_time,number_of_cinemas,facebook_users,commuter_pain_index,number_of_international_embassies,number_of_international_organizations__headquarters,green_area_per_person,number_of_museums,research_institutions_and_think_tanks,foreign_direct_investment__fdi,number_of_theaters,football_clubs_in_the_top_division,length_of_subway_per_100_000_inhabitants,total_surface,international_population,single_population,number_of_sister_cities,murder_rate,quality_of_living,average_price_of_a_beer__0_5_l,total_length_of_bike_paths,number_of_kindergartens,distance_from_capital,number_of_tourists_per_year,level_of_air_pollution__air_quality_index,percentage_of_slum_population,median_household_income,theft_rate,position_in__the_world_s_best_city_to_live_in__ranking,income_growth,hospitals
259,Cape Town,64,1400 people/km²,,3.7 million,0.8%,52.41%,47.59%,,,,103$ billion,19.4%,,15%,3,40%,,,,,,16.7°C,22°C,77.7%,,2,4,,,1,,0,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
260,El Paso,64,2450 people/km²,37.1 years,0.67 million,,50.8%,49.2%,,2 233.00$,0.48,20$ billion,8.8%,,,,,4.07$,,,3.1,,17.3°C,25.6°C,47%,,0,1,48$,,1,,,,,,54.1%,,0,0,,,0,,,,0km,,,,,0.8,,,,,,,,,,,,,
261,Arlington,64,3872 people/km²,32.1 years,0.38 million,,50.9%,49.1%,,2 100.00$,0.49,,7.4%,,,4,,4.07$,,,3.1,,18.6°C,24.4°C,69.5%,,0,2,,,0,,,,30 minutes,,,,0,0,,,0,,,,0km,,,,,4.2,,,,,,,,,,,,,
262,Bissau,64,5100 people/km²,19.6 years,0.4 million,,51.3%,48.7%,,85.26$,,,,,15%,4,,,,1.28$,,,27.5°C,32.3°C,,22.7°C,0,0,,0.17$,1,,0,,,,,,18,,,2,0,,,,,,,,,,,0.85$,,,,,,,,,,,
263,Khartoum,63,163 people/km²,,2.57 million,8%,46%,54%,,,0.35,4.88$ billion,19%,,,9,,,,,,,29.9°C,37.1°C,28.8%,,0,2,,,1,,0,,,,,,52,,,2,,,,,,,,,,27.2,,,,,,,,,,,,,
264,Glasgow,63,3298 people/km²,,0.61 million,,,,781.17$,2 301.50$,,21.3$ billion,12%,1.11$,,,,,,,,,9°C,12.7°C,,5.3°C,1,3,58.38$,2.85$,1,,0,34,,30,49.2%,,16,,,12,0,,14,,0.86km,,,,,,,,,,,,,,,,,,
265,Salzburg,63,2200 people/km²,,0.14 million,0.5%,,,,2 173.00$,,,4.7%,,20%,3,50%,,,,,,9.5°C,14.2°C,,4.9°C,1,1,65.7$,,1,,0,38,,,34.4%,,,,,22,,,,,0km,,,,,,,,,,,,,,,,,,
266,Pittsburgh,63,2140 people/km²,36 years,0.3 million,0.1%,51.6%,48.4%,,2 951.00$,,,6.1%,,10%,22,,4.07$,,,,,,,,,0,2,97.5$,,2,,2,121,,,,,,,,,,,7,,,,,,,13.1,,,,,,,,,,,,,
267,Ashgabat,63,,25.8 years,0.65 million,,50.1%,49.9%,,290$,,,,,20%,21,30%,,,,6,,17.1°C,23.8°C,55%,11.2°C,,4,2.5$,,1,,,,,,,,30,,,5,,,6,,,,,,,,,,,,,,,,,,,,
268,Kuala Lumpur,63,2592 people/km²,,1.63 million,0.1%,,,,,,24.08$ billion,3.5%,,,16,26%,2.42$,,,,,27.8°C,32.4°C,80%,,0,2,,,2,1.49,4,,,,60.85%,,63,,12m²,10,6,,,,,,,,,,,,,,,,,,,,,,
269,Guayaquil,63,7345 people/km²,,2.5 million,2.5%,50.8%,49.2%,,383$,0.49,51$ billion,8.3%,,12%,,,,,,,,26°C,30°C,72%,22°C,0,3,,,1,,,22,,,33.36%,,,,,12,,,2,,0km,,,,,,,,,,,,,,,,,,
270,Port of Spain,62,9500 people/km²,33.5 years,0.06 million,,49.3%,50.7%,,,0.4,,6.4%,,15%,,,,,,,,27.9°C,32.2°C,85%,23.6°C,0,0,,,1,,0,,,,39.52%,,25,0,,,0,,,,0km,,,,,35.2,154#,,,,,,,,,,,,
271,Yaoundé,62,13558 people/km²,17.7 years,2.44 million,6.8%,50.6%,49.4%,,,0.42,,10%,,19.25%,6,35%,,,,,,23.5°C,28°C,,19°C,0,1,,,1,,0,,,,,,18,1,,1,,,,,,,,,,,,,,,,,,,,,,,
272,Lagos,62,7941 people/km²,17.9 years,7.94 million,,47.8%,52.2%,,200$,0.34,30$ billion,21%,,,,25%,,,,0.5,,26.5°C,30.7°C,,22.6°C,0,1,,,1,0.84,2,,,,4.41%,,0,,,,2,,,,0km,,,,,12.2,203#,,,,,,,,,,,,
273,Cleveland,62,1971 people/km²,35.6 years,0.4 million,-0.8%,52.1%,47.9%,,2 944.00$,0.29,106$ billion,7.3%,,10%,11,,,,,,,10.37°C,15.1°C,,5.5°C,0,3,87.5$,,2,,3,,28 minutes,,,,,0,,23,0,,,,,,,,,,,,,,,,,,,,,,
274,Alexandria,62,1534.16 people/km²,,4.1 million,,,,,,,,7.1%,,10%,5,20%,2.36$,,,,0%,20°C,24.9°C,,15.8°C,0,1,,,2,,0,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,
275,Rotterdam,62,2962 people/km²,,1.16 million,0.78%,,,933.53$,2 357.55$,,,14%,1.05$,19%,4,,,,,,,10.5°C,14.3°C,83%,6.8°C,0,1,72.67$,3.35$,1,,0,21,,,45.5%,,,,,7,,,8,,8.6km,,,,,,,,,,,,,,,,,,
276,Pattaya,62,4700 people/km²,,0.1 million,,,,,399$,,,0.5%,,7%,4,37%,2.35$,,,,10%,28.1°C,31.3°C,76.9%,25°C,0,0,17.7$,,0,,0,26,,8,26.6%,,9,0,,11,,,,,0km,,,,,,,,,,,,,,,,,,
277,Ljubljana,62,1664 people/km²,42.8 years,0.28 million,,51.2%,48.7%,560$,1 317.00$,,,14%,1.15$,22%,,,,,,,,10.2°C,15.1°C,60.5%,,0,0,49.5$,1.6$,1,,0,31,,14,,,40,,,14,19,,10,,,163.8 km²,4.3%,,24,,,,800km,,,,,,,,,,
278,Andorra la Vella,62,742 people/km²,41.2 years,0.02 million,0.27%,48.5%,51.4%,597$,2 750.00$,,3.71$ billion,2.9%,1.4$,4.5%,1,0%,4.93$,,1.7$,,0%,9.6°C,8°C,,-1°C,1,0,39$,2.2$,0,,0,13,,1,,,2,,,8,0,,2,,,12 km²,,,5,,,,,,,,,,,,,,
279,Nottingham,62,4073 people/km²,,0.3 million,1.2%,51%,49%,,2 890.00$,,,14.1%,,20%,2,50%,,,,,,9.7°C,13.4°C,,6.1°C,0,0,105$,,1,,0,47,,4,50.8%,,,0,,6,,,5,,0km,,,,,,,,,,,,,,,,,,
280,Monrovia,61,,18.2 years,1.01 million,2.61%,50%,50%,,25.6$,0.38,,,,,4,0.35%,,,,,0.2%,26°C,29°C,,23°C,0,1,,,1,,0,,,1,,,11,,,3,0,,,,,,,,,,,,,,,,,,,,,,
281,Oxford,61,3270 people/km²,,0.15 million,1.2%,51%,49%,,3 295.00$,,,5.7%,,20%,2,50%,,,,,,10°C,13.9°C,,6.1°C,0,0,71$,,1,,0,20,51 minutes,3,50.8%,,,0,,4,1,,5,,0km,,,,,,,,,,,,,,,,,,
282,St Louis,61,1983 people/km²,33.9 years,2.1 million,,51.7%,48.3%,,,,128.5$ billion,7.4%,,10%,4,12.3%,4.07$,,,,,13.9°C,18.9°C,69.7%,8.8°C,0,2,72$,,1,,2,,,7,50.7%,,0,,,8,,,8,,,,,,,,,,,,,,,,,,,,
283,São Tomé,61,180 people/km²,17.6 years,0.06 million,,50%,50%,,,,,,,,1,,,,,,,25.5°C,29°C,76.1%,,,2,,,1,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
284,Maracaibo,61,981 people/km²,,2.2 million,2.83%,,,,61.9$,,35$ billion,7.2%,,12%,11,,,,,,,28.1°C,33.6°C,,23.5°C,0,2,,,1,,,9,,4,33.8%,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,
285,Antwerp,61,2400 people/km²,,0.49 million,2.8%,,,,,0.28,73.74$ billion,15.9%,,21%,7,,,,,,,10.21°C,14.09°C,,5.74°C,1,1,31.55$,,1,,,,,7,,,,,,18,,,2,,,,,,,,,,,,,,,,,,,,
286,Cancun,61,320 people/km²,,0.62 million,,44%,56%,,,,,5.3%,,,14,,2.74$,,,,,26°C,31°C,74%,21°C,1,1,,,1,,0,35,,3,,,,,,6,,,,,,,,,,16,,,,,,,,8.8,,,,,
287,Naples,61,8182 people/km²,,1.06 million,-0.46%,,,,1 763.00$,,43$ billion,11%,,21%,6,,,,,,,15.4°C,20.4°C,,10.4°C,1,1,54.5$,,1,,0,15,,9,37.7%,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
288,Kathmandu,60,19866 people/km²,22.1 years,11 million,1.77%,51%,48.9%,,1 451.00$,0.47,,47%,,13%,3,10%,,,,,25%,19°C,27°C,75%,11°C,1,0,14.1$,,1,,0,6,,,,,48,,,7,0,,5,,,,,,,,,,,,,,,,,,,,
289,Juba,60,,,0.04 million,,,,,,,,18.7%,,0.1%,2,0.15%,,,,,0.1%,28°C,34.5°C,,21.6°C,0,0,,,1,,0,,,1,,,19,,,0,0,,1,,,,,,,,,,,,,,,,,,,,
290,Reykjavik,60,436 people/km²,,0.12 million,2.1%,,,1 739.62$,2 938.08$,0.28,0.52$ billion,3.9%,1.52$,25.5%,4,46.2%,,15.93$,1.96$,,,5.3°C,7.8°C,,2.8°C,0,0,116.99$,4.38$,2,,0,20,,,,,13,,,4,,,,0,,274 km²,,,17,,,,,,,,,,,,,,
291,Port Vila,60,,25.4 years,0.04 million,1.32%,49.1%,50.9%,,,,,2.7%,,12.5%,1,0%,,,,,0%,24°C,26.4°C,83.8%,,0,0,,,1,,0,,,2,,,6,,,1,0,,1,,,,,,,,,,,,,,,,,,,,
292,Johannesburg,59,2000 people/km²,,5.6 million,4.44%,49.84%,50.16%,,,0.63,65.31$ billion,24.5%,,15%,7,,,,,,,16°C,,,,0,2,,,2,1.48,2,,,,,83,,,,13,4,,4,,,,,,,,,,,,,,,,,,,,
293,Valencia,59,5919 people/km²,,0.79 million,-0.12%,52.5%,47.5%,,2 235.00$,32,135$ billion,28.3%,,21%,,,,,,,,17.8°C,22.3°C,65%,,1,1,59$,,1,,0,61,,10,37.4%,,,0,266m²,50,,,5,,,,,,,,,,108km,,,,,,,,,,
294,Skopje,59,890 people/km²,36.2 years,0.48 million,,50.2%,49.7%,,,,,31.4%,,18%,5,,,,,,,12.5°C,18.8°C,70.7%,,0,10,,,1,,,,,5,,,30,,,7,15,,2,,,,,,,,,,,,,,,,,,,,
295,Rovaniemi,59,8.03 people/km²,,0.06 million,0.49%,51.4%,48.6%,,2 816.00$,26.8,,12.4%,,24%,2,51%,4.93$,,,,10%,0.9°C,4.4°C,,-2.3°C,,0,61$,,1,,0,,,6,,,,0,,4,,,4,,0km,,,,,0.26,,,,,,,,,28k,,,,
296,Leeds,59,1380 people/km²,38 years,0.75 million,1.3%,51.8%,48.2%,,2 520.00$,0.35,20.7$ billion,9.8%,,20%,,,,,,,,8.8°C,12.6°C,80%,,0,1,130$,,1,,0,,27.5 minutes,,,,0,,,9,0,,,,0km,,,,,,,,,,,,,,,,,,
297,Ama,59,3200 people/km²,,0.08 million,,,,671.75$,684.79$,,,,1.72$,,,,,6.12$,1.3$,,,,,,,,,99.38$,2.25$,,,,,,,,,,,,,,,,,,,,,,,,2.35$,,,,,,,,,,,
298,Algiers,59,6513 people/km²,,3.33 million,1.2%,,,,,0.35,45$ billion,10%,,,3,35%,,,,2.1,0%,17.78°C,23.65°C,,11.9°C,1,3,32$,,1,,0,,,,,,78,,,7,0,,,,,,,,,,185#,,,,,,,,,,,,
299,Lyon,59,10000 people/km²,,0.48 million,0.7%,,,,2 505.00$,,62$ billion,9.8%,,19%,3,,,,,,,12.5°C,16.9°C,,8.1°C,1,1,68.6$,,1,,1,47,,,37.5%,,,,166.2m²,39,,,,,,,,,,,,,,,,,,,,,,,
300,Niamey,58,5400 people/km²,15.2 years,1.3 million,3.3%,49.1%,50.9%,,,0.5,4.17$ billion,24%,,19%,2,,,,,,,29.31°C,36.19°C,32.3%,,0,1,,,1,,0,,,,,,19,,,1,0,,,,,,,,,,,,,,,,,,,,,,
301,Bishkek,58,5100 people/km²,25.2 years,0.87 million,3.2%,51%,49%,,215.13$,,20.38$ billion,2.5%,,20%,12,,,,,,,11.3°C,17.7°C,62%,5.6°C,,1,4.9$,,1,,,,,9,,,12,,21m²,12,,,7,,,,,,,,,,,,,,,,,,,,
302,Liverpool,58,3889 people/km²,30 years,0.46 million,-2.1%,50.8%,49.2%,,3 009.00$,,10.9$ billion,6.8%,,20%,3,,,,,,,9.6°C,12.7°C,75%,6.6°C,2,3,77$,,1,,0,45,,14,,,,0,,24,0,,6,,0km,,,,,,,,,,,,,,,,,,
303,Bangui,58,9295 people/km²,19.3 years,0.6 million,2.1%,,,,,0.56,,23%,,19%,1,50%,,,,1.2,10%,26.2°C,31.5°C,,21°C,1,,,,1,,0,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Valletta,58,8700 people/km²,40.3 years,0.07 million,0.35%,50.2%,49.8%,802$,1 783.00$,,,6.1%,,18%,1,,,,,,,18°C,21°C,75%,,1,0,35$,1.7$,1,,,53,,3,,,27,,,4,4,,4,,,0.8 km²,,,,,,,,,,,,,,,,,
305,Tunis,58,3400 people/km²,,2.4 million,1.03%,,,,591.6$,0.41,,17.6%,,18%,6,35%,,,,1.8,10.5%,18.43°C,23.52°C,,13.26°C,1,2,,,1,,0,,,,30.62%,,44,,8.71m²,4,,2.2$ billion,,,,,,,,,140#,,,,,,,,,,,,
306,Douala,58,,19.6 years,3 million,5%,,,,,0.42,,,,19.25%,1,35%,,,,1.5,,26.3°C,28.8°C,79.8%,23.9°C,0,,,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,San Miguel de Allende,57,,,0.13 million,,,,,,,,,,,,30%,2.74$,,,,,18.8°C,26.7°C,53.5%,10.9°C,1,,,,,,,1,,,35%,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,
308,Turin,57,7000 people/km²,,0.91 million,0.65%,,,,1 916.00$,,25.4$ billion,13%,,21%,4,,,,,,,11.6°C,16.8°C,75%,6.5°C,1,2,42.31$,,1,,0,13,,16,37.7%,,,,,18,,,22,,,,,,,,,,,,,,,,,,,,
309,Freetown,57,,,1.2 million,1.5%,,,,,0.42,,,,15%,,30%,,,,0.4,0%,26.87°C,29.93°C,,23.81°C,0,,,,1,,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Porto,57,5702.93 people/km²,40.4 years,0.24 million,,51.2%,48.7%,,,,,15.9%,,23%,7,,,,,,,14°C,24.7°C,75%,,2,4,33$,,1,,,20,,9,,,,,,7,21,,6,,,,,,,,,,,,,,,,,,,,
311,Bandar Seri Begawan,57,1395 people/km²,28.7 years,0.14 million,,50%,50%,,,,,2.7%,,,8,,,,,,,27.5°C,31.8°C,,23.3°C,0,1,,,1,,,,,3,,,25,,,3,,,,,,,,,,,,,,,,,,,,,,,
312,Pretoria,57,1000 people/km²,,1.4 million,,,,,,,12.63$ billion,25.8%,,14%,5,40%,,,,,,18.7°C,25°C,,12°C,0,1,,,1,,0,,,,,,118,,,7,1,,,,,,,,,,,,,,,,,,,,,,
313,Kampala,56,9429 people/km²,,1.66 million,5.61%,51.7%,48.3%,,375$,0.44,3.36$ billion,11%,,,13,,,,,,,22.73°C,27.77°C,,17.69°C,1,1,,,1,,0,,,,,,38,,,1,3,,,,,,,,,,,,,,,,,,,,,,
314,Kishinev,56,5500 people/km²,35.2 years,0.72 million,9.1%,51.5%,48.5%,,290$,,,0.76%,,20%,23,18%,,,,,,10.2°C,14.6°C,70%,6.4°C,,1,,,1,,,,,4,,,15,,,13,9,,11,,,,,,,,,,,,,,,,,,,,
315,Abuja,56,6275.4 people/km²,,1.57 million,9.3%,47.86%,52.14%,,200$,0.34,5.01$ billion,11.8%,,,3,,,,,,,26.61°C,33.02°C,,20.2°C,0,1,,,1,,0,,,2,,,92,,,1,1,,0,,,,,,,,,,,,,,,,,,,,
316,Sana'a,55,447 people/km²,17.9 years,1.94 million,5.6%,49.2%,50.8%,,,0.44,,25%,,,3,,,,,0.7,,17.18°C,23.43°C,,10.93°C,1,0,,,1,,0,,,,,,30,,,2,0,,,,,,,,,,,,,,,,,23,,,,0.7%,
317,Bruges,55,850 people/km²,,0.11 million,,53%,47%,,2 462.00$,,,7.4%,,21%,,50%,4.93$,,,,,9.9°C,13.7°C,83%,8.8°C,1,,,,1,,,27,,6,45%,,7,,,21,,,,,,,,,,,,,,,,,,,,,,,
318,Pyongyang,55,1238.07 people/km²,,2.87 million,1.09%,,,,38.4$,0.31,,3.4%,,,7,20%,,,,,4%,10.6°C,15.7°C,,5.6°C,0,4,,,1,,0,1,,3,0%,,24,0,,7,,,5,,0.78km,,,,,,,,,,,,,,,,,,
319,Malé,55,17900 people/km²,26.5 years,0.1 million,,42.7%,57.3%,,,0.37,,14.5%,,,1,,,,,2.6,,28.8°C,30°C,,27.5°C,0,0,,,1,,0,,,,34.36%,,5,,,,0,,,,0km,,,,,1.6,,,,,,,,,,,,,
320,Riverside,55,1500 people/km²,33.7 years,0.31 million,1.6%,,,,2 741.00$,,111$ billion,9.3%,,,6,,,,,,,19.3°C,26°C,72%,12.7°C,0,0,50$,,1,,0,26,,,50.7%,,,,,15,,,,,,,,54%,,5,,,,,,,,,,,,,
321,Beverly Hills,55,5976 people/km²,43.6 years,0.03 million,0.1%,54.3%,45.7%,,,,,11.5%,,10%,7,12.3%,4.07$,,,,1%,24.5°C,29.4°C,,19.5°C,0,0,,,0,,9,161,,11,50.7%,,0,,,6,,,10,,0km,,,55.8%,,,,,,,,,,,,,,,
322,Pamplona,54,8363 people/km²,,0.19 million,2.19%,52%,48%,,2 653.00$,,,17.1%,,21%,2,50%,,,,,,12.5°C,17.8°C,,7.1°C,0,,,,1,,0,24,,4,36%,,,,,2,,,1,,0km,,,,,,,,64km,,,,,,,,,,
323,Mogadishu,54,,17.8 years,2.86 million,,49.7%,50.3%,,,0.3,,,,,,,,,,,,27.1°C,30.2°C,79.3%,23.9°C,0,1,,,,,0,,,,1.23%,,5,0,,,0,,,,,,,,,1.5,,,,,,,,,,,,,
324,Funchal,54,1323 people/km²,,0.11 million,,,,,1 116.00$,,,,,23%,1,46.5%,4.93$,,,,11.5%,19.6°C,22.6°C,72.5%,16.5°C,0,,66$,,1,,,22,,6,42.1%,,21,,,11,,,9,,,,,,,,,,,,,,,,,,,,
325,Libreville,54,,18.6 years,0.58 million,1.9%,50.5%,49.5%,,451$,0.41,,18.5%,,18%,1,,,,,,,25.9°C,28.58°C,84.2%,23.3°C,0,1,,,1,,0,,,,7.54%,,36,0,,,0,,,,0km,,,,,,,,,,,,,,,,,,
326,Cologne,54,2500 people/km²,42 years,1.03 million,0.83%,51%,49%,,2 686.00$,,45.05$ billion,8.6%,,,7,45%,,,,,,10.3°C,14.8°C,75%,5.8°C,,1,100$,,1,,0,,,19,,,,,,30,,,13,,0km,,,,,,,,,,,,38.94,,,,,,
327,Ubud,53,,,0.03 million,,,,413.24$,187.84$,,,,,10%,0,30%,2.64$,,0.61$,,5%,27.8°C,30.4°C,78.2%,25.3°C,0,0,,,0,,,9,,,34.1%,,0,0,,7,,,0,,0km,,,,,,,1.84$,,,,,,,,,,,
328,Dodoma,53,125 people/km²,17.8 years,0.32 million,2.2%,,,,,0.38,0.17$ billion,17.7%,,,2,30%,,,,,,22.5°C,29°C,,16°C,0,0,,,1,,0,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,
329,Funafuti,53,1900 people/km²,24.4 years,0 million,,50.7%,49.2%,,,,,,,5%,1,,,,,,,28.9°C,30.2°C,,27°C,0,1,,,1,,,,,0,,,1,,,0,0,,0,,,,,,,,,,,,,,,,,,,,
330,Yamoussoukro,52,1485 people/km²,,0.3 million,3.4%,49%,51%,,,0.42,0.34$ billion,27.4%,,,1,,,,,,,26.8°C,32.9°C,75%,20.8°C,0,0,,,1,,0,,,,,,0,,,1,0,,,,,,,,,,,,,,,,,61.7,,,,,
331,Damascus,52,16844 people/km²,,1.71 million,5%,,,,,0.63,,20%,,,7,15%,,,,,5%,17.55°C,24.6°C,,,1,,,,1,,0,,,,,,69,,0.71m²,6,0,,,,,,,,,,,,,,,,,,,,,,
332,Leicester,51,4180 people/km²,,0.32 million,1.5%,,,,3 011.00$,,,8.5%,,20%,2,,4.16$,,,,,10.2°C,13.3°C,,7.1°C,0,1,50$,,3,,0,28,,7,49.2%,,,,,12,,,7,,,,,,,,,,,,,,,,,,,,
333,Mykonos,51,96 people/km²,,0.01 million,0.8%,,,,1 364.00$,,,,,23%,,,4.93$,,,,,28°C,,,,1,0,,,1,,,0,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
334,Casablanca,51,,27.3 years,3.25 million,,50.7%,49.2%,,,,33$ billion,8.9%,,20%,4,,,,,,,17.4°C,21.2°C,85%,13.6°C,0,8,,,3,,3,,,3,,,,,,2,11,,2,,,,,,,,,,,,,,,,,,,,
335,Cork,51,3194 people/km²,,0.19 million,,50.7%,49.3%,,3$,,,11.1%,,23%,1,43%,,,,,,6.9°C,12.9°C,87%,9.9°C,0,1,101$,,1,,,18,,4,34.6%,,,,,9,,,8,,,,,,,,,,,,,,,,,,,,
336,Coimbra,50,4581 people/km²,,0.14 million,1.7%,,,,1 032.00$,,,12.4%,,23%,1,46.5%,,,,,,5.5°C,21.2°C,,9.8°C,1,1,44.3$,,1,,,23,,,44.3%,,,,,8,,,2,,,,,,,,,,,,,,,,,,,,
337,Naypyidaw,50,130 people/km²,26.9 years,0.93 million,2.9%,,,,,,4.13$ billion,8.2%,,,0,,,,,,,26.66°C,32.64°C,,21.18°C,0,1,,,1,,0,,,4,,,0,,,2,0,,,,,,,,,,,,,,,,,45.6,,,,,
338,Luang Prabang,50,22 people/km²,,0.05 million,,,,,,,,,,10%,1,24%,,,,,,24.4°C,31.1°C,82.8%,20.1°C,1,0,,,1,,,22,,1,4.2%,,1,0,,4,,,3,,0km,,,,,,,,,,,,,,,,,,
339,Bujumbura,49,2700 people/km²,17 years,0.8 million,,51%,49%,,,,,,,18%,3,35%,,,,,35%,,,,,,,,,1,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Wroclaw,49,2160 people/km²,,0.62 million,,,,,946$,,10$ billion,4.7%,,23%,7,,,,,,,9.8°C,14.4°C,76%,5.9°C,1,2,29.5$,,1,,1,22,,2,45.2%,,,,,12,,,6,,,,,,,,,,,,,,,,,,,,
341,Vaduz,49,288 people/km²,41.6 years,0.01 million,0.8%,50.5%,49.4%,,,,,2.8%,,8%,1,,,,,,,9.2°C,13.7°C,,4.8°C,0,2,,,0,,,4,,1,,,6,,,4,2,,2,,,,,,,,,,,,,,,,,,,,
342,Asmara,49,534 people/km²,18.9 years,0.65 million,,50.5%,49.5%,,33.6$,,,,,12%,,,,,,1.15,,16.5°C,23.5°C,,9.4°C,0,0,,,1,,0,,,,0.37%,,19,0,,,0,,,,,,,,,17.8,,,,,,,,,,,,,
343,Monaco,49,18000 people/km²,49.9 years,0.04 million,,51.2%,48.7%,5 351.00$,4 057.00$,,4.7$ billion,0%,4$,19.6%,1,,4.93$,,2.3$,,,16°C,18.5°C,70%,14.1°C,0,0,53$,2.7$,0,,2,12,,,,,32,,,9,,,1,,,2 km²,,,,,,,,,,,,,,,,,1
344,Verona,48,1300 people/km²,43 years,0.26 million,0.61%,52.4%,47.6%,,,,,12%,,21%,2,43%,4.93$,,,,,12.5°C,17.5°C,,7.9°C,1,1,,,1,,0,7,,,37.7%,,,,,,,,8,,0km,,,,,,,,,,,,,,,,,,
345,Avila,47,254 people/km²,42 years,0.06 million,-0.1%,,,,1 900.00$,0.46,230$ billion,23.9%,,21%,,,,,,,,11°C,17°C,66%,,1,0,,,0,,0,1,,5,37.4%,,,0,,4,,,6,,0km,,,,,,,,,,,,,,,,,,
346,Bridgetown,47,,36.9 years,0.11 million,,52%,48%,,,,,,,15%,1,35%,,,,,25%,27.3°C,29.9°C,,24.7°C,1,1,,,1,,,,,1,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,
347,Lusaka,46,,16.5 years,1.74 million,,50%,50%,,,,,60%,,17.5%,1,35%,,,,,10%,,26°C,40%,15°C,,,,,1,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
348,City of San Marino,46,633 people/km²,42.8 years,0.04 million,0.98%,51.5%,48.5%,,,,1.66$ billion,12.6%,,,1,,4.07$,,,,,12.7°C,18.9°C,,6.5°C,1,0,,,0,,0,7,,,50.1%,,2,,,11,0,,,,0km,7 km²,,,3,0.9,,,,,,,,,,,,,
349,Yangon,46,7300 people/km²,,4.35 million,,,,,,,,,,,36,,,,,,,27°C,32°C,,23°C,0,3,,,2,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
350,Yaren,46,,24.6 years,0 million,,52.3%,47.6%,,,,,,,,1,,,,,,,27.6°C,30°C,,25°C,0,1,,,1,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
351,Cusco,46,,,0.51 million,9.2%,,,,537$,,,,,18%,8,30%,2.28$,,,,,12°C,19.7°C,55.4%,4.3°C,1,1,,,1,,,25,,0,31.1%,,,,,2,,,0,,,,,,,,,,,,,,,,,,,,
352,Lilongwe,45,,18 years,0.78 million,2.9%,49.94%,50.06%,,,0.39,0.6$ billion,18.6%,,,0,,,,,,,18.18°C,24.14°C,,12.22°C,0,0,,,1,,0,,,,,,8,,,1,0,,,,,,,,,,,,,,,,,91.1,,,,3.7%,
353,Omdurman,44,,,2.4 million,,,,,,,,,,,6,,,,,,,29°C,37°C,,21°C,0,3,,,0,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,
354,Łódź,44,2439 people/km²,,0.71 million,,,,,,,,14.7%,,23%,9,32%,4.93$,,,,,8.5°C,12.8°C,,4.7°C,0,0,62.3$,,1,,,13,,,45.2%,,7,0,,15,,,10,,0km,,,,,,,,75.9km,,,,,,,,,,
355,St. George's,43,,29 years,0.03 million,,49.5%,50.5%,,,,,,,,,,,,,,,26.6°C,,,,,,,,1,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,
356,Tangier,42,,,0.85 million,,,,,,,87.5$ billion,,,20%,1,38%,,,,,0%,18°C,21.8°C,,13.5°C,0,1,,,1,,,12,,6,,,15,0,,2,0,,7,,0km,,,,,,,,,,,,,,,,,,
